Substrate,Products,Kinetic Law, Modifiers, Parameters
cRelnp50n,cRelp50,Mass Action,,k_NFkBExport
cRelp52,cRelnp52n,Mass Action,,k_NFkBImport
cRelnp52n,cRelp52,Mass Action,,k_NFkBExport
p50p50,p50np50n,Mass Action,,k_NFkBImport
p50np50n,p50p50,Mass Action,,k_NFkBExport
p52p52,p52np52n,Mass Action,,k_NFkBImport
p52np52n,p52p52,Mass Action,,k_NFkBExport
RelAp50,,Mass Action,,k_freeNFkBDeg
RelAnp50n,,Mass Action,,k_freeNFkBDeg
RelAp52,,Mass Action,,k_freeNFkBDeg
RelAnp52n,,Mass Action,,k_freeNFkBDeg
RelBp52,,Mass Action,,k_freeNFkBDeg
RelBnp52n,,Mass Action,,k_freeNFkBDeg
RelBp50,,Mass Action,,k_freeNFkBDeg
RelBnp50n,,Mass Action,,k_freeNFkBDeg
cRelp50,,Mass Action,,k_freeNFkBDeg
cRelnp50n,,Mass Action,,k_freeNFkBDeg
cRelp52,,Mass Action,,k_freeNFkBDeg
cRelnp52n,,Mass Action,,k_freeNFkBDeg
p50p50,,Mass Action,,k_freeNFkBDeg
p50np50n,,Mass Action,,k_freeNFkBDeg
p52p52,,Mass Action,,k_freeNFkBDeg
p52np52n,,Mass Action,,k_freeNFkBDeg
IkBa RelAp50,RelAp50IkBa,Mass Action Binding,,k_IkBaRelA50Ass
IkBan RelAnp50n,RelAnp50nIkBan,Mass Action Binding,,k_IkBaRelA50Ass
IkBb RelAp50,RelAp50IkBb,Mass Action Binding,,k_IkBbRelA50Ass
IkBbn RelAnp50n,RelAnp50nIkBbn,Mass Action Binding,,k_IkBbRelA50Ass
IkBe RelAp50,RelAp50IkBe,Mass Action Binding,,k_IkBeRelA50Ass
IkBen RelAnp50n,RelAnp50nIkBen,Mass Action Binding,,k_IkBeRelA50Ass
IkBd RelAp50,RelAp50IkBd,Mass Action Binding,,k_IkBdRelA50Ass
IkBdn RelAnp50n,RelAnp50nIkBdn,Mass Action Binding,,k_IkBdRelA50Ass
IkBa RelBp50,RelBp50IkBa,Mass Action Binding,,k_IkBaRelB50Ass
IkBan RelBnp50n,RelBnp50nIkBan,Mass Action Binding,,k_IkBaRelB50Ass
IkBb RelBp50,RelBp50IkBb,Mass Action Binding,,k_IkBbRelB50Ass
IkBbn RelBnp50n,RelBnp50nIkBbn,Mass Action Binding,,k_IkBbRelB50Ass
IkBe RelBp50,RelBp50IkBe,Mass Action Binding,,k_IkBeRelB50Ass
IkBen RelBnp50n,RelBnp50nIkBen,Mass Action Binding,,k_IkBeRelB50Ass
IkBd RelBp50,RelBp50IkBd,Mass Action Binding,,k_IkBdRelB50Ass
IkBdn RelBnp50n,RelBnp50nIkBdn,Mass Action Binding,,k_IkBdRelB50Ass
IkBa RelBp52,RelBp52IkBa,Mass Action Binding,,k_IkBaRelB52Ass
IkBan RelBnp52n,RelBnp52nIkBan,Mass Action Binding,,k_IkBaRelB52Ass
IkBb RelBp52,RelBp52IkBb,Mass Action Binding,,k_IkBbRelB52Ass
IkBbn RelBnp52n,RelBnp52nIkBbn,Mass Action Binding,,k_IkBbRelB52Ass
IkBe RelBp52,RelBp52IkBe,Mass Action Binding,,k_IkBeRelB52Ass
IkBen RelBnp52n,RelBnp52nIkBen,Mass Action Binding,,k_IkBeRelB52Ass
IkBd RelBp52,RelBp52IkBd,Mass Action Binding,,k_IkBdRelB52Ass
IkBdn RelBnp52n,RelBnp52nIkBdn,Mass Action Binding,,k_IkBdRelB52Ass
IkBa cRelp50,cRelp50IkBa,Mass Action Binding,,k_IkBacRel50Ass
IkBan cRelnp50n,cRelnp50nIkBan,Mass Action Binding,,k_IkBacRel50Ass
IkBb cRelp50,cRelp50IkBb,Mass Action Binding,,k_IkBbcRel50Ass
IkBbn cRelnp50n,cRelnp50nIkBbn,Mass Action Binding,,k_IkBbcRel50Ass
IkBe cRelp50,cRelp50IkBe,Mass Action Binding,,k_IkBecRel50Ass
IkBen cRelnp50n,cRelnp50nIkBen,Mass Action Binding,,k_IkBecRel50Ass
IkBd cRelp50,cRelp50IkBd,Mass Action Binding,,k_IkBdcRel50Ass
IkBdn cRelnp50n,cRelnp50nIkBdn,Mass Action Binding,,k_IkBdcRel50Ass
IkBa cRelp52,cRelp52IkBa,Mass Action Binding,,k_IkBacRel52Ass
IkBan cRelnp52n,cRelnp52nIkBan,Mass Action Binding,,k_IkBacRel52Ass
IkBb cRelp52,cRelp52IkBb,Mass Action Binding,,k_IkBbcRel52Ass
IkBbn cRelnp52n,cRelnp52nIkBbn,Mass Action Binding,,k_IkBbcRel52Ass
IkBe cRelp52,cRelp52IkBe,Mass Action Binding,,k_IkBecRel52Ass
IkBen cRelnp52n,cRelnp52nIkBen,Mass Action Binding,,k_IkBecRel52Ass
IkBd cRelp52,cRelp52IkBd,Mass Action Binding,,k_IkBdcRel52Ass
IkBdn cRelnp52n,cRelnp52nIkBdn,Mass Action Binding,,k_IkBdcRel52Ass
IkBa RelAp52,RelAp52IkBa,Mass Action Binding,,k_IkBaRelA52Ass
IkBan RelAnp52n,RelAnp52nIkBan,Mass Action Binding,,k_IkBaRelA52Ass
IkBb RelAp52,RelAp52IkBb,Mass Action Binding,,k_IkBbRelA52Ass
IkBbn RelAnp52n,RelAnp52nIkBbn,Mass Action Binding,,k_IkBbRelA52Ass
IkBe RelAp52,RelAp52IkBe,Mass Action Binding,,k_IkBeRelA52Ass
IkBen RelAnp52n,RelAnp52nIkBen,Mass Action Binding,,k_IkBeRelA52Ass
IkBd RelAp52,RelAp52IkBd,Mass Action Binding,,k_IkBdRelA52Ass
IkBdn RelAnp52n,RelAnp52nIkBdn,Mass Action Binding,,k_IkBdRelA52Ass
RelAp50IkBa,IkBa RelAp50,Mass Action,,k_IkBaRelA50Diss
RelAnp50nIkBan,IkBan RelAnp50n,Mass Action,,k_IkBaRelA50Diss
RelAp50IkBb,IkBb RelAp50,Mass Action,,k_IkBbRelA50Diss
RelAnp50nIkBbn,IkBbn RelAnp50n,Mass Action,,k_IkBbRelA50Diss
RelAp50IkBe,IkBe RelAp50,Mass Action,,k_IkBeRelA50Diss
RelAnp50nIkBen,IkBen RelAnp50n,Mass Action,,k_IkBeRelA50Diss
RelAp50IkBd,IkBd RelAp50,Mass Action,,k_IkBdRelA50Diss
RelAnp50nIkBdn,IkBdn RelAnp50n,Mass Action,,k_IkBdRelA50Diss
RelBp50IkBa,IkBa RelBp50,Mass Action,,k_IkBaRelB50Diss
RelBnp50nIkBan,IkBan RelBnp50n,Mass Action,,k_IkBaRelB50Diss
RelBp50IkBb,IkBb RelBp50,Mass Action,,k_IkBbRelB50Diss
RelBnp50nIkBbn,IkBbn RelBnp50n,Mass Action,,k_IkBbRelB50Diss
RelBp50IkBe,IkBe RelBp50,Mass Action,,k_IkBeRelB50Diss
RelBnp50nIkBen,IkBen RelBnp50n,Mass Action,,k_IkBeRelB50Diss
RelBp50IkBd,IkBd RelBp50,Mass Action,,k_IkBdRelB50Diss
RelBnp50nIkBdn,IkBdn RelBnp50n,Mass Action,,k_IkBdRelB50Diss
RelBp52IkBa,IkBa RelBp52,Mass Action,,k_IkBaRelB52Diss
RelBnp52nIkBan,IkBan RelBnp52n,Mass Action,,k_IkBaRelB52Diss
RelBp52IkBb,IkBb RelBp52,Mass Action,,k_IkBbRelB52Diss
RelBnp52nIkBbn,IkBbn RelBnp52n,Mass Action,,k_IkBbRelB52Diss
RelBp52IkBe,IkBe RelBp52,Mass Action,,k_IkBeRelB52Diss
RelBnp52nIkBen,IkBen RelBnp52n,Mass Action,,k_IkBeRelB52Diss
RelBp52IkBd,IkBd RelBp52,Mass Action,,k_IkBdRelB52Diss
RelBnp52nIkBdn,IkBdn RelBnp52n,Mass Action,,k_IkBdRelB52Diss
cRelp50IkBa,IkBa cRelp50,Mass Action,,k_IkBacRel50Diss
cRelnp50nIkBan,IkBan cRelnp50n,Mass Action,,k_IkBacRel50Diss
cRelp50IkBb,IkBb cRelp50,Mass Action,,k_IkBbcRel50Diss
cRelnp50nIkBbn,IkBbn cRelnp50n,Mass Action,,k_IkBbcRel50Diss
cRelp50IkBe,IkBe cRelp50,Mass Action,,k_IkBecRel50Diss
cRelnp50nIkBen,IkBen cRelnp50n,Mass Action,,k_IkBecRel50Diss
cRelp50IkBd,IkBd cRelp50,Mass Action,,k_IkBdcRel50Diss
cRelnp50nIkBdn,IkBdn cRelnp50n,Mass Action,,k_IkBdcRel50Diss
cRelp52IkBa,IkBa cRelp52,Mass Action,,k_IkBacRel52Diss
cRelnp52nIkBan,IkBan cRelnp52n,Mass Action,,k_IkBacRel52Diss
cRelp52IkBb,IkBb cRelp52,Mass Action,,k_IkBbcRel52Diss
cRelnp52nIkBbn,IkBbn cRelnp52n,Mass Action,,k_IkBbcRel52Diss
cRelp52IkBe,IkBe cRelp52,Mass Action,,k_IkBecRel52Diss
cRelnp52nIkBen,IkBen cRelnp52n,Mass Action,,k_IkBecRel52Diss
cRelp52IkBd,IkBd cRelp52,Mass Action,,k_IkBdcRel52Diss
cRelnp52nIkBdn,IkBdn cRelnp52n,Mass Action,,k_IkBdcRel52Diss
RelAp52IkBa,IkBa RelAp52,Mass Action,,k_IkBaRelA52Diss
RelAnp52nIkBan,IkBan RelAnp52n,Mass Action,,k_IkBaRelA52Diss
RelAp52IkBb,IkBb RelAp52,Mass Action,,k_IkBbRelA52Diss
RelAnp52nIkBbn,IkBbn RelAnp52n,Mass Action,,k_IkBbRelA52Diss
RelAp52IkBe,IkBe RelAp52,Mass Action,,k_IkBeRelA52Diss
RelAnp52nIkBen,IkBen RelAnp52n,Mass Action,,k_IkBeRelA52Diss
RelAp52IkBd,IkBd RelAp52,Mass Action,,k_IkBdRelA52Diss
RelAnp52nIkBdn,IkBdn RelAnp52n,Mass Action,,k_IkBdRelA52Diss
RelAp50IkBa,RelAnp50nIkBan,Mass Action,,k_RelAp50IkBanucImport
RelAp50IkBb,RelAnp50nIkBbn,Mass Action,,k_RelAp50IkBbnucImport
RelAp50IkBe,RelAnp50nIkBen,Mass Action,,k_RelAp50IkBenucImport
RelAp50IkBd,RelAnp50nIkBdn,Mass Action,,k_RelAp50IkBdnucImport
RelBp50IkBa,RelBnp50nIkBan,Mass Action,,k_RelBp50IkBanucImport
RelBp50IkBb,RelBnp50nIkBbn,Mass Action,,k_RelBp50IkBbnucImport
RelBp50IkBe,RelBnp50nIkBen,Mass Action,,k_RelBp50IkBenucImport
RelBp50IkBd,RelBnp50nIkBdn,Mass Action,,k_RelBp50IkBdnucImport
RelBp52IkBa,RelBnp52nIkBan,Mass Action,,k_RelBp52IkBanucImport
RelBp52IkBb,RelBnp52nIkBbn,Mass Action,,k_RelBp52IkBbnucImport
RelBp52IkBe,RelBnp52nIkBen,Mass Action,,k_RelBp52IkBenucImport
RelBp52IkBd,RelBnp52nIkBdn,Mass Action,,k_RelBp52IkBdnucImport
cRelp50IkBa,cRelnp50nIkBan,Mass Action,,k_cRelp50IkBanucImport
cRelp50IkBb,cRelnp50nIkBbn,Mass Action,,k_cRelp50IkBbnucImport
cRelp50IkBe,cRelnp50nIkBen,Mass Action,,k_cRelp50IkBenucImport
cRelp50IkBd,cRelnp50nIkBdn,Mass Action,,k_cRelp50IkBdnucImport
cRelp52IkBa,cRelnp52nIkBan,Mass Action,,k_cRelp52IkBanucImport
cRelp52IkBb,cRelnp52nIkBbn,Mass Action,,k_cRelp52IkBbnucImport
cRelp52IkBe,cRelnp52nIkBen,Mass Action,,k_cRelp52IkBenucImport
cRelp52IkBd,cRelnp52nIkBdn,Mass Action,,k_cRelp52IkBdnucImport
RelAp52IkBa,RelAnp52nIkBan,Mass Action,,k_RelAp52IkBanucImport
RelAp52IkBb,RelAnp52nIkBbn,Mass Action,,k_RelAp52IkBbnucImport
RelAp52IkBe,RelAnp52nIkBen,Mass Action,,k_RelAp52IkBenucImport
RelAp52IkBd,RelAnp52nIkBdn,Mass Action,,k_RelAp52IkBdnucImport
RelAnp50nIkBan,RelAp50IkBa,Mass Action,,k_RelAnp50nIkBannucExport
RelAnp50nIkBbn,RelAp50IkBb,Mass Action,,k_RelAnp50nIkBbnnucExport
RelAnp50nIkBen,RelAp50IkBe,Mass Action,,k_RelAnp50nIkBennucExport
RelAnp50nIkBdn,RelAp50IkBd,Mass Action,,k_RelAnp50nIkBdnnucExport
RelBnp50nIkBan,RelBp50IkBa,Mass Action,,k_RelBnp50nIkBannucExport
RelBnp50nIkBbn,RelBp50IkBb,Mass Action,,k_RelBnp50nIkBbnnucExport
RelBnp50nIkBen,RelBp50IkBe,Mass Action,,k_RelBnp50nIkBennucExport
RelBnp50nIkBdn,RelBp50IkBd,Mass Action,,k_RelBnp50nIkBdnnucExport
RelBnp52nIkBan,RelBp52IkBa,Mass Action,,k_RelBnp52nIkBannucExport
RelBnp52nIkBbn,RelBp52IkBb,Mass Action,,k_RelBnp52nIkBbnnucExport
RelBnp52nIkBen,RelBp52IkBe,Mass Action,,k_RelBnp52nIkBennucExport
RelBnp52nIkBdn,RelBp52IkBd,Mass Action,,k_RelBnp52nIkBdnnucExport
cRelnp50nIkBan,cRelp50IkBa,Mass Action,,k_cRelnp50nIkBannucExport
cRelnp50nIkBbn,cRelp50IkBb,Mass Action,,k_cRelnp50nIkBbnnucExport
cRelnp50nIkBen,cRelp50IkBe,Mass Action,,k_cRelnp50nIkBennucExport
cRelnp50nIkBdn,cRelp50IkBd,Mass Action,,k_cRelnp50nIkBdnnucExport
cRelnp52nIkBan,cRelp52IkBa,Mass Action,,k_cRelnp52nIkBannucExport
cRelnp52nIkBbn,cRelp52IkBb,Mass Action,,k_cRelnp52nIkBbnnucExport
cRelnp52nIkBen,cRelp52IkBe,Mass Action,,k_cRelnp52nIkBennucExport
cRelnp52nIkBdn,cRelp52IkBd,Mass Action,,k_cRelnp52nIkBdnnucExport
RelAnp52nIkBan,RelAp52IkBa,Mass Action,,k_RelAnp52nIkBannucExport
RelAnp52nIkBbn,RelAp52IkBb,Mass Action,,k_RelAnp52nIkBbnnucExport
RelAnp52nIkBen,RelAp52IkBe,Mass Action,,k_RelAnp52nIkBennucExport
RelAnp52nIkBdn,RelAp52IkBd,Mass Action,,k_RelAnp52nIkBdnnucExport
RelAp50IkBa,RelAp50,Mass Action IKK,,k_IkBaDegIKK ikk_ikkactivity
RelAp50IkBb,RelAp50,Mass Action IKK,,k_IkBbDegIKK ikk_ikkactivity
RelAp50IkBe,RelAp50,Mass Action IKK,,k_IkBeDegIKK ikk_ikkactivity
RelBp50IkBa,RelBp50,Mass Action IKK,,k_IkBaDegIKK ikk_ikkactivity
RelBp50IkBb,RelBp50,Mass Action IKK,,k_IkBbDegIKK ikk_ikkactivity
RelBp50IkBe,RelBp50,Mass Action IKK,,k_IkBeDegIKK ikk_ikkactivity
RelBp52IkBa,RelBp52,Mass Action IKK,,k_IkBaDegIKK ikk_ikkactivity
RelBp52IkBb,RelBp52,Mass Action IKK,,k_IkBbDegIKK ikk_ikkactivity
RelBp52IkBe,RelBp52,Mass Action IKK,,k_IkBeDegIKK ikk_ikkactivity
cRelp50IkBa,cRelp50,Mass Action IKK,,k_IkBaDegIKK ikk_ikkactivity
cRelp50IkBb,cRelp50,Mass Action IKK,,k_IkBbDegIKK ikk_ikkactivity
cRelp50IkBe,cRelp50,Mass Action IKK,,k_IkBeDegIKK ikk_ikkactivity
cRelp52IkBa,cRelp52,Mass Action IKK,,k_IkBaDegIKK ikk_ikkactivity
cRelp52IkBb,cRelp52,Mass Action IKK,,k_IkBbDegIKK ikk_ikkactivity
cRelp52IkBe,cRelp52,Mass Action IKK,,k_IkBeDegIKK ikk_ikkactivity
RelAp52IkBa,RelAp52,Mass Action IKK,,k_IkBaDegIKK ikk_ikkactivity
RelAp52IkBb,RelAp52,Mass Action IKK,,k_IkBbDegIKK ikk_ikkactivity
RelAp52IkBe,RelAp52,Mass Action IKK,,k_IkBeDegIKK ikk_ikkactivity
RelAp50IkBa,RelAp50,Mass Action,,k_IkBDeg
RelAp50IkBb,RelAp50,Mass Action,,k_IkBDeg
RelAp50IkBe,RelAp50,Mass Action,,k_IkBDeg
RelAp50IkBd,RelAp50,Mass Action,,k_IkBDeg
RelBp50IkBa,RelBp50,Mass Action,,k_IkBDeg
RelBp50IkBb,RelBp50,Mass Action,,k_IkBDeg
RelBp50IkBe,RelBp50,Mass Action,,k_IkBDeg
RelBp50IkBd,RelBp50,Mass Action,,k_IkBDeg
RelBp52IkBa,RelBp52,Mass Action,,k_IkBDeg
RelBp52IkBb,RelBp52,Mass Action,,k_IkBDeg
RelBp52IkBe,RelBp52,Mass Action,,k_IkBDeg
RelBp52IkBd,RelBp52,Mass Action,,k_IkBDeg
cRelp50IkBa,cRelp50,Mass Action,,k_IkBDeg
cRelp50IkBb,cRelp50,Mass Action,,k_IkBDeg
cRelp50IkBe,cRelp50,Mass Action,,k_IkBDeg
cRelp50IkBd,cRelp50,Mass Action,,k_IkBDeg
cRelp52IkBa,cRelp52,Mass Action,,k_IkBDeg
cRelp52IkBb,cRelp52,Mass Action,,k_IkBDeg
cRelp52IkBe,cRelp52,Mass Action,,k_IkBDeg
cRelp52IkBd,cRelp52,Mass Action,,k_IkBDeg
RelAp52IkBa,RelAp52,Mass Action,,k_IkBDeg
RelAp52IkBb,RelAp52,Mass Action,,k_IkBDeg
RelAp52IkBe,RelAp52,Mass Action,,k_IkBDeg
RelAp52IkBd,RelAp52,Mass Action,,k_IkBDeg
RelAnp50nIkBan,RelAnp50n,Mass Action,,k_IkBDeg
RelAnp50nIkBbn,RelAnp50n,Mass Action,,k_IkBDeg
RelAnp50nIkBen,RelAnp50n,Mass Action,,k_IkBDeg
RelAnp50nIkBdn,RelAnp50n,Mass Action,,k_IkBDeg
RelBnp50nIkBan,RelBnp50n,Mass Action,,k_IkBDeg
RelBnp50nIkBbn,RelBnp50n,Mass Action,,k_IkBDeg
RelBnp50nIkBen,RelBnp50n,Mass Action,,k_IkBDeg
RelBnp50nIkBdn,RelBnp50n,Mass Action,,k_IkBDeg
RelBnp52nIkBan,RelBnp52n,Mass Action,,k_IkBDeg
RelBnp52nIkBbn,RelBnp52n,Mass Action,,k_IkBDeg
RelBnp52nIkBen,RelBnp52n,Mass Action,,k_IkBDeg
RelBnp52nIkBdn,RelBnp52n,Mass Action,,k_IkBDeg
cRelnp50nIkBan,cRelnp50n,Mass Action,,k_IkBDeg
cRelnp50nIkBbn,cRelnp50n,Mass Action,,k_IkBDeg
cRelnp50nIkBen,cRelnp50n,Mass Action,,k_IkBDeg
cRelnp50nIkBdn,cRelnp50n,Mass Action,,k_IkBDeg
cRelnp52nIkBan,cRelnp52n,Mass Action,,k_IkBDeg
cRelnp52nIkBbn,cRelnp52n,Mass Action,,k_IkBDeg
cRelnp52nIkBen,cRelnp52n,Mass Action,,k_IkBDeg
cRelnp52nIkBdn,cRelnp52n,Mass Action,,k_IkBDeg
RelAnp52nIkBan,RelAnp52n,Mass Action,,k_IkBDeg
RelAnp52nIkBbn,RelAnp52n,Mass Action,,k_IkBDeg
RelAnp52nIkBen,RelAnp52n,Mass Action,,k_IkBDeg
RelAnp52nIkBdn,RelAnp52n,Mass Action,,k_IkBDeg
RelAp50IkBa,IkBa,Mass Action,,k_NFkBDeg
RelAp50IkBb,IkBb,Mass Action,,k_NFkBDeg
RelAp50IkBe,IkBe,Mass Action,,k_NFkBDeg
RelAp50IkBd,IkBd,Mass Action,,k_NFkBDeg
RelBp50IkBa,IkBa,Mass Action,,k_NFkBDeg
RelBp50IkBb,IkBb,Mass Action,,k_NFkBDeg
RelBp50IkBe,IkBe,Mass Action,,k_NFkBDeg
RelBp50IkBd,IkBd,Mass Action,,k_NFkBDeg
RelBp52IkBa,IkBa,Mass Action,,k_NFkBDeg
RelBp52IkBb,IkBb,Mass Action,,k_NFkBDeg
RelBp52IkBe,IkBe,Mass Action,,k_NFkBDeg
RelBp52IkBd,IkBd,Mass Action,,k_NFkBDeg
cRelp50IkBa,IkBa,Mass Action,,k_NFkBDeg
cRelp50IkBb,IkBb,Mass Action,,k_NFkBDeg
cRelp50IkBe,IkBe,Mass Action,,k_NFkBDeg
cRelp50IkBd,IkBd,Mass Action,,k_NFkBDeg
cRelp52IkBa,IkBa,Mass Action,,k_NFkBDeg
cRelp52IkBb,IkBb,Mass Action,,k_NFkBDeg
cRelp52IkBe,IkBe,Mass Action,,k_NFkBDeg
cRelp52IkBd,IkBd,Mass Action,,k_NFkBDeg
RelAp52IkBa,IkBa,Mass Action,,k_NFkBDeg
RelAp52IkBb,IkBb,Mass Action,,k_NFkBDeg
RelAp52IkBe,IkBe,Mass Action,,k_NFkBDeg
RelAp52IkBd,IkBd,Mass Action,,k_NFkBDeg
RelAnp50nIkBan,IkBan,Mass Action,,k_NFkBDeg
RelAnp50nIkBbn,IkBbn,Mass Action,,k_NFkBDeg
RelAnp50nIkBen,IkBen,Mass Action,,k_NFkBDeg
RelAnp50nIkBdn,IkBdn,Mass Action,,k_NFkBDeg
RelBnp50nIkBan,IkBan,Mass Action,,k_NFkBDeg
RelBnp50nIkBbn,IkBbn,Mass Action,,k_NFkBDeg
RelBnp50nIkBen,IkBen,Mass Action,,k_NFkBDeg
RelBnp50nIkBdn,IkBdn,Mass Action,,k_NFkBDeg
RelBnp52nIkBan,IkBan,Mass Action,,k_NFkBDeg
RelBnp52nIkBbn,IkBbn,Mass Action,,k_NFkBDeg
RelBnp52nIkBen,IkBen,Mass Action,,k_NFkBDeg
RelBnp52nIkBdn,IkBdn,Mass Action,,k_NFkBDeg
cRelnp50nIkBan,IkBan,Mass Action,,k_NFkBDeg
cRelnp50nIkBbn,IkBbn,Mass Action,,k_NFkBDeg
cRelnp50nIkBen,IkBen,Mass Action,,k_NFkBDeg
cRelnp50nIkBdn,IkBdn,Mass Action,,k_NFkBDeg
cRelnp52nIkBan,IkBan,Mass Action,,k_NFkBDeg
cRelnp52nIkBbn,IkBbn,Mass Action,,k_NFkBDeg
cRelnp52nIkBen,IkBen,Mass Action,,k_NFkBDeg
cRelnp52nIkBdn,IkBdn,Mass Action,,k_NFkBDeg
RelAnp52nIkBan,IkBan,Mass Action,,k_NFkBDeg
RelAnp52nIkBbn,IkBbn,Mass Action,,k_NFkBDeg
RelAnp52nIkBen,IkBen,Mass Action,,k_NFkBDeg
RelAnp52nIkBdn,IkBdn,Mass Action,,k_NFkBDeg
,tIkBb,Constant Rate,,k_tIkBb
,tIkBa,Hill Promotion Induction IkB two,RelAnp50n RelAnp52n,kmax_IkBaSynth k1_IkBaSynth Kd1_IkBaSynth k2_IkBaSynth Kd2_IkBaSynth kh_IkBaSynth
,tIkBe,Hill Promotion Induction IkB four,RelAnp50n RelAnp52n cRelnp50n cRelnp52n,kmax_IkBeSynth k1_IkBeSynth Kd1_IkBeSynth k2_IkBeSynth Kd2_IkBeSynth k3_IkBeSynth Kd3_IkBeSynth k4_IkBeSynth Kd4_IkBeSynth kh_IkBeSynth delay_IkBeSynth
tIkBa,,Mass Action,,k_tIkBaDeg
tIkBb,,Mass Action,,k_tIkBbDeg
tIkBe,,Mass Action,,k_tIkBeDeg
tIkBa,tIkBa IkBa,Mass Action,,k_IkBTsl
tIkBb,tIkBb IkBb,Mass Action,,k_IkBTsl
tIkBe,tIkBe IkBe,Mass Action,,k_IkBTsl
IkBa,,Mass Action,,k_IkBadeg
IkBb,,Mass Action,,k_IkBbdeg
IkBe,,Mass Action,,k_IkBedeg
IkBd,,Mass Action,,k_IkBddeg
IkBa,IkBan,Mass Action,,k_IkBanucImport
IkBb,IkBbn,Mass Action,,k_IkBbnucImport
IkBe,IkBen,Mass Action,,k_IkBenucImport
IkBd,IkBdn,Mass Action,,k_IkBdnucImport
IkBan,IkBa,Mass Action,,k_IkBannucExport
IkBbn,IkBb,Mass Action,,k_IkBbnnucExport
IkBen,IkBe,Mass Action,,k_IkBennucExport
IkBdn,IkBd,Mass Action,,k_IkBdnnucExport
IkBa,,Mass Action IKK,,k_IkBaDegIKK ikk_ikkactivity
IkBb,,Mass Action IKK,,k_IkBbDegIKK ikk_ikkactivity
IkBe,,Mass Action IKK,,k_IkBeDegIKK ikk_ikkactivity
IkBan,,Mass Action,,k_IkBadeg
IkBbn,,Mass Action,,k_IkBbdeg
IkBen,,Mass Action,,k_IkBedeg
IkBdn,,Mass Action,,k_IkBddeg
,tRelA,Constant Rate,,k_RelASynth
,tp50,Hill Promotion Induction NFkB four,RelAnp50n RelAnp52n cRelnp50n cRelnp52n,basal_p50Synth k1_p50Synth Kd1_p50Synth k2_p50Synth Kd2_p50Synth k3_p50Synth Kd3_p50Synth k4_p50Synth Kd4_p50Synth kh_p50Synth delay_p50Synth scale_ind
,tRelB,Hill Promotion Induction NFkB four,RelAnp50n RelAnp52n cRelnp50n cRelnp52n,basal_RelBSynth k1_RelBSynth Kd1_RelBSynth k2_RelBSynth Kd2_RelBSynth k3_RelBSynth Kd3_RelBSynth k4_RelBSynth Kd4_RelBSynth kh_RelBSynth delay_RelBSynth scale_ind
